senderAddress,text,label
VM-IndBnk,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.299.00 and credited to euronetgpay.pay@icici (UPI Ref no 212355781017).-Indian Bank,General
VM-IndBnk,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.100.00 and credited to paytmqr281005050101igsemgaff7py@paytm (UPI Ref no 212248850682).-Indian Bank,General
VK-IndBnk,Your VPA 6280368198@paytm linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.20.00 and credited to Q80761355@ybl (UPI Ref no 212285142987).-Indian Bank,General
VK-IndBnk,Your VPA 6280368198@ybl linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.3500.00 and credited to 7082282508@ybl (UPI Ref no 212287937861).-Indian Bank,Transfer
VK-IndBnk,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.40.00 and credited to paytmqr281005050101xo2pulse786j@paytm (UPI Ref no 212237512625).-Indian Bank,General
VK-IndBnk,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.140.00 and credited to paytmqr2810050501011qqwqzri7jbc@paytm (UPI Ref no 212237450539).-Indian Bank,General
VK-IndBnk,Your VPA 6280368198@paytm linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.500.00 and credited to zomatomediaprivatelimited.rzp@sbi (UPI Ref no 212118534601).-Indian Bank,Food
VM-INDBNK,Your a/c. XXXX4658 is credited by Rs. 50.00 on 01-05-22 by a/c linked to mobile 9XXXXXX999 (IMPS Ref no. 212100011920). -IndianBank,Income
SBIINB,CAUTION! Do not share this message. Your One Time PIN for Debit Card ending 8981 is Two Four One One. Set your new PIN within 24 hrs through Banking -- PIN Change option at any SBI ATM. Download YONO @ www.yonosbi.com.-SBI,Info
VK-IndBnk,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.110.00 and credited to paytmqr2810050501011j3q7jqza65z@paytm (UPI Ref no 211836982123).-Indian Bank,General
VM-IndBnk,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.15.00 and credited to euronetgpay.pay@icici (UPI Ref no 211830447400).-Indian Bank,General
VM-IndBnk,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.20.00 and credited to rajeshwar7500-1@okhdfcbank (UPI Ref no 211834266117).-Indian Bank,General
VK-IndBnk,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.20.00 and credited to paytmqr2810050501011hde0r7uwpt1@paytm (UPI Ref no 211834069825).-Indian Bank,General
VM-IndBnk,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.50.00 and credited to paytmqr2810050501011qqwqzri7jbc@paytm (UPI Ref no 211828033232).-Indian Bank,General
VM-IndBnk,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.110.00 and credited to paytmqr2810050501011hdv8srrk9vl@paytm (UPI Ref no 211797730685).-Indian Bank,General
VK-NSTEXT,"Dear Customer,
You can be Approved for Axis Bank Select Credit Card with Rs. 2000 Amazon Voucher.
Confirm Details 7kb.in/kQX/vJRnzpH
NST",Info
QP-AKIKOG,"Check your eligibility in 45 sec for Axis Bank Credit_Card
Get a Rs 2000 amazon voucher - Apply https://bit.ly/3HCzDtr AKIKOG",General
AX-IndBnk,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.25.00 and credited to q924028779@ybl (UPI Ref no 211565288595).-Indian Bank,General
AX-IndBnk,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.19.00 and credited to billdesk.prepaid-mobile@icici (UPI Ref no 211558203876).-Indian Bank,General
AD-IndBnk,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.533.00 and credited to jio@yesbank (UPI Ref no 211556046670).-Indian Bank,Utilities
AD-IndBnk,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.70.00 and credited to hukumpul@oksbi (UPI Ref no 211444658910).-Indian Bank,General
AX-IndBnk,Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.100.00 and credited to hukumpul@oksbi (UPI Ref no 211441549572).-Indian Bank,General
